row,Fecha,Abrir,Alto,Bajo,Cierre*,Cierre ajustado**,Volumen
0,2022-03-18,4.93,4.957,4.811,4.905,4.905,61244
1,2022-03-18,4.93,4.957,4.811,4.863,4.863,93844
2,2022-03-17,4.747,5.001,4.691,4.99,4.99,93844
3,2022-03-16,4.625,4.776,4.594,4.748,4.748,80521
4,2022-03-15,4.679,4.682,4.459,4.568,4.568,86943
5,2022-03-14,4.705,4.759,4.506,4.658,4.658,73961
6,2022-03-11,4.657,4.797,4.622,4.725,4.725,84506
7,2022-03-10,4.52,4.671,4.499,4.631,4.631,81807
8,2022-03-09,4.569,4.625,4.45,4.526,4.526,95126
9,2022-03-08,4.818,4.882,4.507,4.527,4.527,159168
10,2022-03-07,5.041,5.184,4.781,4.833,4.833,130864
11,2022-03-04,4.75,5.045,4.728,5.016,5.016,125385
12,2022-03-03,4.795,4.936,4.628,4.722,4.722,137151
13,2022-03-02,4.6,4.911,4.6,4.762,4.762,141694
14,2022-03-01,4.408,4.627,4.34,4.573,4.573,112546
15,2022-02-28,4.62,4.683,4.366,4.402,4.402,107186
16,2022-02-25,4.573,4.716,4.417,4.47,4.47,114859
17,2022-02-24,4.603,4.94,4.293,4.568,4.568,184107
18,2022-02-23,4.504,4.704,4.452,4.623,4.623,47180
19,2022-02-22,4.594,4.861,4.448,4.498,4.498,42641
20,2022-02-18,4.517,4.654,4.371,4.431,4.431,73219
21,2022-02-17,4.642,4.793,4.402,4.486,4.486,117789
22,2022-02-16,4.393,4.74,4.37,4.717,4.717,155480
23,2022-02-15,4.183,4.428,4.157,4.306,4.306,141954
24,2022-02-14,4.103,4.229,4.04,4.195,4.195,121204
25,2022-02-11,3.944,4.056,3.876,3.941,3.941,177373
26,2022-02-10,4.035,4.068,3.882,3.959,3.959,141740
27,2022-02-09,4.211,4.259,3.983,4.009,4.009,154599
28,2022-02-08,4.276,4.381,4.173,4.248,4.248,154444
29,2022-02-07,4.384,4.468,4.12,4.232,4.232,192859
30,2022-02-04,4.929,5.087,4.487,4.572,4.572,152119
31,2022-02-03,5.42,5.454,4.816,4.888,4.888,205841
32,2022-02-02,4.893,5.572,4.857,5.501,5.501,305898
33,2022-02-01,4.921,4.974,4.62,4.751,4.751,140785
34,2022-01-31,4.867,5.057,4.695,4.874,4.874,156746
35,2022-01-28,4.342,4.876,4.286,4.639,4.639,263418
36,2022-01-27,4.23,7.346,4.23,6.265,6.265,193252
37,2022-01-26,4.04,4.39,4.011,4.277,4.277,44321
38,2022-01-25,3.959,4.079,3.889,4.053,4.053,23443
39,2022-01-24,3.915,4.068,3.876,4.027,4.027,47100
40,2022-01-21,3.838,4.044,3.833,3.999,3.999,70256
41,2022-01-20,4.015,4.037,3.781,3.802,3.802,104199
42,2022-01-19,4.327,4.385,4.01,4.031,4.031,116542
43,2022-01-18,4.356,4.39,4.216,4.283,4.283,119454
44,2022-01-14,4.263,4.305,4.097,4.262,4.262,108856
45,2022-01-13,4.791,4.844,4.245,4.27,4.27,221612
46,2022-01-12,4.225,4.879,4.186,4.857,4.857,217499
47,2022-01-11,4.119,4.261,4.007,4.249,4.249,121623
48,2022-01-10,4.144,4.213,3.977,4.079,4.079,177628
49,2022-01-07,3.86,3.98,3.8,3.916,3.916,127012
50,2022-01-06,3.842,3.931,3.801,3.812,3.812,116579
51,2022-01-05,3.747,3.897,3.717,3.882,3.882,96811
52,2022-01-04,3.817,3.944,3.709,3.717,3.717,133394
53,2022-01-03,3.702,3.858,3.638,3.815,3.815,99069
54,2021-12-31,3.589,3.794,3.572,3.73,3.73,93098
55,2021-12-30,3.853,3.966,3.536,3.561,3.561,124667
56,2021-12-29,4.08,4.261,3.905,4.024,4.024,141906
57,2021-12-28,4.065,4.154,3.955,4.055,4.055,35643
58,2021-12-27,3.958,4.087,3.767,4.06,4.06,38911
59,2021-12-23,3.97,4.006,3.599,3.731,3.731,82233
60,2021-12-22,3.87,4.041,3.816,3.976,3.976,86619
61,2021-12-21,3.84,3.947,3.719,3.869,3.869,128438
62,2021-12-20,3.645,3.924,3.642,3.834,3.834,128582
63,2021-12-17,3.783,3.814,3.617,3.69,3.69,101625
64,2021-12-16,3.814,3.976,3.729,3.766,3.766,122851
65,2021-12-15,3.785,3.926,3.766,3.802,3.802,110311
66,2021-12-14,3.802,3.84,3.686,3.747,3.747,116826
67,2021-12-13,3.975,4.085,3.77,3.794,3.794,162586
68,2021-12-10,3.798,3.965,3.76,3.925,3.925,133283
69,2021-12-09,3.818,3.924,3.725,3.814,3.814,141107
70,2021-12-08,3.734,3.931,3.723,3.815,3.815,146872
71,2021-12-07,3.68,3.829,3.657,3.708,3.708,162973
72,2021-12-06,3.826,3.886,3.63,3.657,3.657,176715
73,2021-12-03,4.105,4.285,4.066,4.132,4.132,124765
74,2021-12-02,4.265,4.335,4.042,4.056,4.056,145506
75,2021-12-01,4.606,4.664,4.22,4.258,4.258,171938
76,2021-11-30,4.873,4.9,4.482,4.567,4.567,171822
77,2021-11-29,5.199,5.2,4.818,4.854,4.854,172471
78,2021-11-26,5.025,5.562,4.983,5.447,5.447,141778
79,2021-11-25,5.025,5.122,4.983,5.119,5.119,40864
80,2021-11-24,4.992,5.15,4.88,5.068,5.068,40864
81,2021-11-23,4.796,5.082,4.757,4.967,4.967,47431
82,2021-11-22,4.91,4.957,4.648,4.789,4.789,96186
83,2021-11-19,4.895,5.156,4.838,5.065,5.065,110058
84,2021-11-18,4.896,5.032,4.83,4.902,4.902,111027
85,2021-11-17,5.159,5.165,4.8,4.816,4.816,145607
86,2021-11-16,5.058,5.394,5.024,5.177,5.177,141140
87,2021-11-15,4.903,5.065,4.713,5.017,5.017,117666
88,2021-11-12,5.129,5.141,4.752,4.791,4.791,137099
89,2021-11-11,4.917,5.176,4.889,5.149,5.149,135953
90,2021-11-10,4.962,5.046,4.725,4.88,4.88,170388
91,2021-11-09,5.41,5.467,4.91,4.979,4.979,202741
92,2021-11-08,5.605,5.663,5.38,5.427,5.427,154221
93,2021-11-05,5.67,5.76,5.501,5.516,5.516,133344
94,2021-11-04,5.86,5.876,5.535,5.716,5.716,147035
95,2021-11-03,5.553,5.865,5.465,5.67,5.67,141498
96,2021-11-02,5.22,5.565,5.206,5.542,5.542,153757
97,2021-11-01,5.31,5.497,5.116,5.186,5.186,163258
98,2021-10-29,5.732,5.837,5.401,5.426,5.426,154410
99,2021-10-28,6.138,6.206,5.713,5.782,5.782,165632
